Old Fashioned,"whiskey,angostura bitters,water,simple syrup",29
Americano,"campari,sweet vermouth,club soda",12
Manhattan,"rye,sweet vermouth,angostura bitters",27
Daiquiri,"white rum,lime juice,simple syrup",18
Dark and Stormy,"dark rum,ginger beer",12
Pina Colada,"white rum,coconut cream,pineapple juice",6
Mai Tai,"white rum,dark rum,orange curacao,lime juice,orgeat syrup,simple syrup",26
Aperol Spritz,"aperol,prosecco,club soda",4
Sazerac,"cognac,absinthe,simple syrup,peychaud's bitters",32
Espresso Martini,"vodka,coffee liquer,coffee,simple syrup",15
Dry Martini,"gin,dry vermouth",30
Vesper,"gin,vodka,lillet blanc",30
Long Island Iced Tea,"gin,tequila,vodka,white rum,triple sec,simple syrup,lemon juice,cola",20
Tom Collins,"gin,simple syrup,lemon juice,club soda,angostura bitters",10
Cosmopolitan,"vodka,cointreau,lime juice,cranberry juice",20
Sidecar,"cognac,triple sec,lemon juice",30
Aviation,"gin,maraschino liquer,lemon juice",25
Gimlet,"gin,lime juice,simple syrup",20
Mint Julep,"bourbon,simple syrup,water,mint",25
Bellini,"prosecco,peach puree",8
French 75,"gin,champagne,lemon juice,simple syrup",13
Margarita,"tequila,cointreau,lime juice",30
Whiskey Sour,"whiskey,lemon juice,simple syrup",15
Boulevard,"rye,grand marnier,dry vermouth",30
